Site,Aluminum,Arsenic,Barium,Beryllium,Boron,Cadmium,Chromium,Cobalt,Copper,Iron,Lead,Lithium,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Selenium,Strontium,Thallium,Titanium,Vanadium,Zinc,Soil  Type, Cobbles,Coarse Gravel,Fine Gravel,Coarse Sand,Medium Sand,Fine Sand,Silt,Clay,Moisture,Total Organic Carbon,PFAS
11-FOR-01,3100,2.3,12,,,0.13,5.4,0.36,2.2,4500,25,,220,19,0.057,,1.4,1,2.7,,100,13,20,"SAND with Silt, Clay,
and Gravel",0,0,0.5,1.8,16.8,68.2,10.5,2.2,20.3,50000,1.665
12-FOR-01,3900,2.9,50,0.18,,0.17,6.7,3.3,5.6,6700,11,3.1,960,520,,,6.4,0.27,4.7,0.095,90,9.1,29,"SAND with Silt, Clay,
and Gravel",0,0,6.4,5.6,23.9,53,7.3,3.9,15.6,19000,1.981
13-FOR-01,7300,3.3,65,0.25,,0.11,12,9.5,8,13000,16,9.6,1900,640,,1.6,12,0.29,5.8,0.16,130,20,40,"SILT with Clay, Sand,
and Gravel",0,0,1.9,1.9,7.9,36.7,37.5,14.1,22.3,17000,1.263
14-FOR-01,3800,1.5,44,0.16,,0.13,4.7,1.9,2.4,4700,9.4,2.5,550,460,,,3.7,0.19,5,,97,7.5,19,"SILTY SAND with Clay
and Gravel",0,0,0.5,0.4,14.3,70.4,12.6,1.9,14.9,12000,1.315
15-FOR-01,1800,0.77,5.6,,,,2.1,,1.6,2900,2.2,,210,12,,,1.6,,,,65,5.7,5.8,"SILTY SAND with Clay
and Gravel",0,0,1.2,0.9,17.9,64.1,12.9,2.9,18.6,6900,0.462
16-FOR-01,3500,1.5,24,,,,4.4,1.1,2.2,4700,5.9,3,580,150,,,2.7,0.33,2.4,0.053,150,7.8,13,SILTY SAND with Clay,0,0,0.5,1.1,10.6,68.5,14,5.3,13.9,7600,0.42
17-FOR-01,2800,0.81,15,,,0.047,3.4,0.63,2.6,4600,9.3,,260,33,,,1.7,0.18,2,,160,10,9.1,"SAND with Silt, Clay,
and Gravel",0,0,1.2,2.9,36.9,48.7,6.5,3.8,16,18000,0.425
18-FOR-01,3000,0.52,11,,,,2.2,,1.3,2500,2.4,,190,34,,,1.6,,,,72,4.9,5.4,"SAND with Silt and
Clay",0,0,0.3,0.3,21.1,72.2,4.3,1.8,19.4,13000,0.553
19-FOR-01,6400,3.9,37,0.32,2.6,0.18,9.7,4.1,6.6,11000,11,8.5,1500,210,0.045,,7.8,0.29,5,0.16,110,16,29,SILTY SAND with Clay,0,0,0.4,1.4,6.4,46.5,28.5,16.7,18.4,16000,1.104
20-FOR-01,2700,0.54,29,,,,2.9,0.78,1.4,3000,3.6,,270,230,,,2.2,,2.5,,87,5.3,9.5,"SAND with Silt, Clay,
and Gravel",0,0,0.6,0.5,21.3,66.8,7.8,3,20.9,9600,0.666
21-FOR-01,2300,0.73,12,,,,2.8,,1,3900,4.4,2.6,160,11,,,1,,,,110,7.5,4.4,SILTY SAND with Clay,0,0,0.8,1,5.9,80.2,8.3,3.9,17.7,12000,0.761
22-FOR-01,2000,0.91,23,,,,2.9,0.67,1.3,4600,3.9,,260,180,,,1.5,,2.5,,120,9.1,8.4,"SAND with Silt and
Clay",0,0,0,0.4,11.2,76.9,7,4.6,13.9,6500,0.371
23-FOR-01,5500,2.6,33,,,,8,3.4,4.8,8600,12,7.3,1200,150,,,6.5,0.26,5.6,0.12,180,16,29,"SILTY SAND with Clay
and Gravel",0,0,1.2,2.1,8.1,47.8,31.9,8.9,23.1,22000,1.179
24-FOR-01,240,0.27,5.2,,,,0.68,,0.43,590,2,,,46,,,,,,,37,1.7,1.6,"SAND with Silt, Clay,
and Gravel",0,0,0.2,0.4,27.4,65.6,5.4,1,11.6,5700,0.234
25-FOR-01,5000,8.3,41,0.27,,0.29,12,3.7,9.5,10000,34,6.7,7600,240,0.053,,11,0.25,15,0.08,120,14,59,"SILTY SAND with Clay
and Gravel",0,0,13,7.9,12.6,46.3,13.3,6.8,17.3,28000,1.599
26-FOR-01,2000,0.65,9.8,,,,2,0.34,1,2300,3.4,,100,37,,,0.9,0.16,,0.068,75,4.7,7.4,"SAND with Silt, Clay,
and Gravel",0,0,1.4,1.6,12.2,79,2.1,3.8,8.7,6800,0.668
27-FOR-01,4200,1.1,29,,,,7.8,2.1,5.7,10000,5.9,4.2,1100,81,0.037,,5.2,,5.2,,730,24,17,"SILTY SAND with Clay
and Gravel",0,0,5.2,4.9,14.1,40.6,23.1,12,24,26000,0.539
28-FOR-01,460,0.46,8.2,,,,0.78,,0.77,1000,3.3,,,93,,,0.31,,,,39,2.2,1.8,SAND with Silt,0,0,0.6,0.4,21.4,70.7,4.5,2.5,11.2,7300,0.437
29-FOR-01,5200,2.1,45,0.25,1.4,0.25,7,1.3,11,4900,12,3.4,860,29,0.073,,6.6,1.2,23,,110,16,14,"CLAYEY SAND with
Silt and Gravel",0,0,1.5,2.3,18.3,64.5,5.2,8.2,39.7,100000,1.516
30-FOR-01,5400,4.2,35,,,,8.1,4.5,7.3,9800,14,5.4,1200,450,,1.4,8.8,0.28,4.3,0.2,150,15,35,"SILTY SAND with Clay
and Gravel",0,0,3.9,2.9,12.1,50.6,22.8,7.7,17.9,13000,1.556
31-FOR-01,2800,0.77,24,,1.1,,5.6,1.3,5.8,6600,5,2.4,920,75,,,3.3,,4,,260,12,15,"SILTY SAND with Clay
and Gravel",0,0,0.5,1.3,9.4,43,29.1,16.7,26.1,20000,0.418
32-FOR-01,7400,9.6,120,0.33,14,0.52,11,4.4,20,16000,14,10,4100,510,0.12,4.2,17,2.5,180,,150,25,71,"SILT with Sand, Clay,
and Gravel",0,0,0.1,0.9,17.4,25.1,29.5,27.1,54.3,180000,0.96
33-FOR-01,5000,4,40,0.13,,,7.5,4.7,7.3,13000,12,4.4,990,550,0.03,,7,0.24,3.7,0.11,180,20,35,"SILTY SAND with Clay
and Gravel",0,0,3.5,3.6,13.2,54.8,17.1,7.8,9.1,26000,1.364
34-FOR-01,6000,2.8,51,0.26,1.6,0.16,10,4.6,6.3,9500,12,5.8,1800,600,0.032,,7.1,0.25,4.7,0.1,230,17,31,"SILTY SAND with Clay
and Gravel",0,15,4.3,7.8,11.4,30.6,22.8,8.1,15.7,19000,1.372
35-FOR-01,3800,1.4,19,,,,7,1,2.5,5900,6.9,2.4,570,42,0.026,,2.9,0.73,5.1,,130,15,13,"SAND with Silt, Clay,
and Gravel",0,0,1.3,1.2,21.5,68.6,3.3,4.1,22.3,30000,0.687
36-FOR-01,6600,2.7,28,,,,13,4.2,5.9,16000,9.3,6.4,1700,350,0.1,,9.7,0.3,3.7,,410,27,26,"SILTY SAND with
Gravel and Clay",0,0,9.1,7.1,11.2,35.3,30.7,6.6,32.5,32000,1.151
37-FOR-01,3300,2.4,33,,,0.17,5.6,2.4,4,6300,11,3.2,920,510,,,4.7,,3.6,,130,9.3,26,"SAND with Silt, Clay,
and Gravel",0,0,6.6,8.7,28.9,44.9,8.3,2.7,17.5,29000,0.911
38-FOR-01,3300,3.1,50,0.15,,0.064,5.4,2.3,3.9,11000,12,2.3,550,580,0.039,,5.5,0.21,3.6,,95,9.7,31,"SILTY SAND with Clay
and Gravel",0,0,0.3,0.5,14.3,69.3,11.3,4.3,19.7,16000,1.341
39-FOR-01,4100,2.1,50,0.17,0.78,0.12,5.9,2.2,3.3,5700,9.7,2.8,750,520,0.028,,4.1,0.17,3.2,0.09,93,8,25,SILTY SAND with Clay,0,0,0,0.6,26.4,57.3,11.7,4,11.2,13000,1.668
40-FOR-01,450,0.24,13,,,,,,,620,3.4,,57,,,,,,,,31,1.3,2.7,"SAND with Silt and
Clay",0,0,0,0.2,23.5,69.9,4.7,1.6,18.3,5500,0.527
41-FOR-01,2800,1.3,18,,,0.086,2.7,0.4,2,3100,18,,170,31,0.032,,1.5,0.24,,,84,5.5,27,"SAND with Silt, Clay,
and Gravel",0,0,0.2,0.8,12.9,74.1,7,4.9,27.3,29000,1.15
42-FOR-01,4300,1.6,14,0.1,2.4,,16,5.2,15,14000,5,9.1,3100,120,,,13,,4.5,,1200,36,17,SAND with Silt,0,0,4.4,4.5,18.1,65.5,3.3,4.2,13.6,21000,0.424
43-FOR-01,1500,0.65,21,,,,1.6,,1.1,2100,8.4,,83,12,,,0.75,,,,63,4.5,5.9,"SAND with Silt and
Clay",0,0,0.9,0.7,23.6,64.8,3.6,6.5,25.1,18000,0.912
44-FOR-01,4400,2.9,27,0.19,,0.13,7.2,2.4,4,7200,12,3.6,810,290,,,5.1,0.18,2.3,,150,12,26,"SILTY SAND with Clay
and Gravel",0,0,2.6,3.5,12.2,60.4,15.8,5.4,14.5,16000,1.078
45-FOR-01,2100,1.1,17,,,,2.4,0.62,1.1,2800,4.1,2.1,300,290,,,1.3,,,,82,5.5,9,SAND with Silt,0,0,0.6,0.8,19.3,72,4.4,2.9,6.6,6400,0.766
