PWS ID,Facility Water Type,Latitude,Longitude,Contaminant,chain length,long-short,Total,key,bdod,cec,cfvo,clay,nitrogen,ocd,phh2o,sand,silt,soc,wv0010,wv0033,wv1500
TX1160015,SW-Surface Water,32.993666,-96.229385,PFPeA,5,short,8.9,32.993666-96.229385,188,425,40,911,215,393,81,767,920,301,477,404,362
TX1160018,SW-Surface Water,32.993447,-96.066344,PFHxA,6,short,3.1,32.993447-96.066344,190,530,40,962,150,402,81,719,925,261,480,430,332
TX1160018,SW-Surface Water,32.993447,-96.066344,PFHxS,6,short,3,32.993447-96.066344,190,530,40,962,150,402,81,719,925,261,480,430,332
TX1160018,SW-Surface Water,32.993447,-96.066344,PFOS,8,Long,5.2,32.993447-96.066344,190,530,40,962,150,402,81,719,925,261,480,430,332
TX1160018,SW-Surface Water,32.993447,-96.066344,PFPeA,5,short,3.1,32.993447-96.066344,190,530,40,962,150,402,81,719,925,261,480,430,332
TX1160028,SW-Surface Water,32.851662,-96.016351,PFBA,4,short,6.1,32.851662-96.016351,188,440,321,967,260,358,81,809,981,356,476,411,348
TX1160029,SW-Surface Water,33.15941,-96.254863,PFBA,4,short,17.2,33.15941-96.254863,189,501,90,933,183,406,80,586,912,485,476,452,335
TX1160052,SW-Surface Water,32.891097,-96.091814,PFBA,4,short,8,32.891097-96.091814,188,471,20,901,159,343,79,771,916,205,476,415,323
TX1190002,SW-Surface Water,33.22329,-98.158881,PFBA,4,short,7,33.22329-98.158881,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1230009,SW-Surface Water,29.909663,-94.00752,PFBA,4,short,5.5,29.909663-94.00752,197,475,10,808,169,916,72,295,778,489,460,405,379
TX1250001,SW-Surface Water,27.757112,-98.060481,PFBA,4,short,9.5,27.757112-98.060481,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1260001,SW-Surface Water,32.409322,-97.211391,PFBA,4,short,6.1,32.409322-97.211391,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1260002,SW-Surface Water,32.524794,-97.348552,PFBA,4,short,5,32.524794-97.348552,0,0,0,0,0,0,0,0,0,0,0,0,0
TX1260006,SW-Surface Water,32.432863,-97.12483,PFPeA,5,short,3.2,32.432863-97.12483,190,514,220,890,239,281,81,263,828,220,477,424,344
TX1260018,"MX-Any combination of GW, SW, and GU",32.308882,-97.453725,PFBA,4,short,6.6,32.308882-97.453725,189,476,430,860,259,326,83,573,826,242,477,433,333
TX1260018,"MX-Any combination of GW, SW, and GU",32.308882,-97.453725,PFBS,4,short,3.2,32.308882-97.453725,189,476,430,860,259,326,83,573,826,242,477,433,333
TX1260018,"MX-Any combination of GW, SW, and GU",32.308882,-97.453725,PFHxA,6,short,3.6,32.308882-97.453725,189,476,430,860,259,326,83,573,826,242,477,433,333
TX1260018,"MX-Any combination of GW, SW, and GU",32.308882,-97.453725,PFPeA,5,short,5,32.308882-97.453725,189,476,430,860,259,326,83,573,826,242,477,433,333
TX1260018,SW-Surface Water,32.308882,-97.453725,PFBA,4,short,20.4,32.308882-97.453725,189,476,430,860,259,326,83,573,826,242,477,433,333
TX1260018,SW-Surface Water,32.308882,-97.453725,PFBS,4,short,6.7,32.308882-97.453725,189,476,430,860,259,326,83,573,826,242,477,433,333
TX1260018,SW-Surface Water,32.308882,-97.453725,PFHxA,6,short,11.9,32.308882-97.453725,189,476,430,860,259,326,83,573,826,242,477,433,333
TX1260018,SW-Surface Water,32.308882,-97.453725,PFPeA,5,short,11,32.308882-97.453725,189,476,430,860,259,326,83,573,826,242,477,433,333
TX1270006,SW-Surface Water,32.64491,-99.778583,PFBA,4,short,35,32.64491-99.778583,186,369,520,896,269,303,82,593,807,226,448,437,331
TX1270006,SW-Surface Water,32.64491,-99.778583,PFBS,4,short,10.3,32.64491-99.778583,186,369,520,896,269,303,82,593,807,226,448,437,331
TX1270006,SW-Surface Water,32.64491,-99.778583,PFHpA,7,short,13,32.64491-99.778583,186,369,520,896,269,303,82,593,807,226,448,437,331
TX1270006,SW-Surface Water,32.64491,-99.778583,PFHxA,6,short,25.4,32.64491-99.778583,186,369,520,896,269,303,82,593,807,226,448,437,331
