Latitude,Longitude,Category
42.73565,-86.13625,Waste Management
42.797136,-83.635229,Waste Management
42.62579,-84.57734,Waste Management
42.152471,-84.81846,Waste Management
42.619469,-85.765817,Waste Management
47.12255,-88.56445,Waste Management
47.1097,-88.5169,Waste Management
44.316583,-84.793463,Waste Management
43.40095,-85.47252,Waste Management
42.585246,-83.919092,Waste Management
42.617849,-83.984857,Waste Management
42.592547,-83.933416,Waste Management
42.601651,-83.942853,Waste Management
41.85338,-84.34835,Waste Management
41.884785,-84.30643,Waste Management
41.78206,-84.38813,Waste Management
42.852502,-85.856924,Waste Management
41.90759,-83.57075,Waste Management
43.021634,-83.070119,Waste Management
42.290067,-83.307067,Waste Management
42.29718,-83.31023,Waste Management
42.2941,-83.2955,Waste Management
42.29686,-83.29067,Waste Management
42.97931,-85.0737,Waste Management
46.463373,-90.183599,Waste Management
46.49153,-87.68869,Waste Management
43.29165,-84.586823,Waste Management
42.2826,-84.41365,Waste Management
42.2642,-84.40701,Waste Management
42.336209,-84.416552,Waste Management
42.29117,-84.38885,Waste Management
42.294814,-84.358853,Waste Management
41.7917,-84.025,Waste Management
42.88765,-85.84221,Waste Management
42.89021,-85.84434,Waste Management
42.910833,-85.780556,Waste Management
41.9927,-84.6683,Waste Management
41.972152,-84.671378,Waste Management
42.3044,-85.57371,Waste Management
42.2979,-85.58343,Waste Management
42.25956,-85.544239,Waste Management
42.25653,-85.53884,Waste Management
42.312643,-85.627677,Waste Management
44.853909,-85.100411,Waste Management
44.771022,-85.160685,Waste Management
44.735934,-85.16565,Waste Management
43.2175,-85.74819,Waste Management
42.884,-85.55872,Waste Management
43.946121,-83.005424,Waste Management
45.801035,-88.056449,Waste Management
43.40563,-83.19133,Waste Management
46.27062,-84.47199,Waste Management
46.755933,-88.45344,Waste Management
42.925036,-84.408663,Waste Management
42.881588,-84.362656,Waste Management
47.18719,-88.39741,Waste Management
42.78874,-85.094,Waste Management
42.70861,-83.24602,Waste Management
42.722701,-83.254729,Waste Management
43.45423,-85.293371,Waste Management
43.006677,-85.899979,Waste Management
42.755517,-84.652983,Waste Management
42.770107,-84.523758,Waste Management
42.75191,-84.57932,Waste Management
42.758049,-84.537606,Waste Management
42.75545,-84.54071,Waste Management
42.78108,-84.62227,Waste Management
42.724117,-84.555542,Waste Management
42.76737,-84.59285,Waste Management
42.68182,-84.53701,Waste Management
43.0583,-83.3071,Waste Management
43.075712,-83.301516,Waste Management
43.0117,-83.3525,Waste Management
42.16573,-85.85825,Waste Management
42.984898,-83.976256,Waste Management
42.981841,-83.978943,Waste Management
42.72523,-82.730343,Waste Management
42.764945,-82.746507,Waste Management
42.444924,-84.431059,Waste Management
43.271357,-82.535741,Waste Management
43.219806,-82.54788,Waste Management
42.815,-83.805833,Waste Management
42.05705,-84.695046,Waste Management
42.02909,-84.73323,Waste Management
42.393261,-83.373137,Waste Management
42.37794,-83.353,Waste Management
42.3709,-83.40931,Waste Management
42.368279,-83.401565,Waste Management
42.37888,-83.41186,Waste Management
42.41433,-83.429041,Waste Management
42.9281,-85.3383,Waste Management
43.941897,-86.408838,Waste Management
41.804087,-83.448662,Waste Management
45.86047,-84.64426,Waste Management
45.76722,-84.741177,Waste Management
42.69171,-82.85879,Waste Management
42.50749,-83.11055,Waste Management
